sessionId,participant_id,agent_class,target,createdAt,totalHits,totalTrials,hitRate,blocksCompleted,blocksPlanned,sessionComplete,demographics
0ECia7A0nUFDeywWWtzp,mr70epVjC5OAEHxiGuht2h2T6qH2,ai_agent,,2026-01-26T16:32:27.959000+00:00,2291.0,4500.0,0.5091111111111111,30.0,30.0,True,
0NbUsBGgERw7q6F2fx5e,a0xrSPv0u4PSW6q88X2qQmR8Fcu2,ai_agent,,2025-11-19T18:46:45.709000+00:00,2242.0,4500.0,0.49822222222222223,30.0,30.0,True,
0axsqcnsobNuOOKMmQtd,voxVXTS5tuZosgzjYFbrZZPNDe32,human,,2025-12-09T03:16:52.038000+00:00,2287.0,4500.0,0.5082222222222222,30.0,30.0,True,"{'age': 18, 'clarityNow': 5, 'screenTime': 4, 'flow': 'Rarely', 'deepWork': '1–2 hours', 'meditation': 'Yes, daily', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}"
0mf5fcFJc55b3ey7DAKZ,wpb2rvaHhEXkdUratYdjRpreew13,ai_agent,,2026-01-23T18:33:47.295000+00:00,2307.0,4500.0,0.5126666666666667,30.0,30.0,True,
0xzTwvayISKF2kfVIg35,a0xrSPv0u4PSW6q88X2qQmR8Fcu2,ai_agent,,2025-11-19T18:52:01.089000+00:00,2263.0,4500.0,0.5028888888888889,30.0,30.0,True,
10eO7RvBJxIeBrY2o6jk,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T16:03:18.858000+00:00,2236.0,4500.0,0.4968888888888889,30.0,30.0,True,
11mi1guTby2nVn90BH86,iHhK3k6E7FZi7q0J60Ugd2YSRnq1,ai_agent,,2025-10-19T20:57:39.740000+00:00,2265.0,4500.0,0.5033333333333333,30.0,30.0,False,
14doGtNZbHIs7KyYIQy0,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T05:52:52.183000+00:00,2233.0,4500.0,0.49622222222222223,30.0,30.0,True,
16AY6dxJk9uQdTV2hlUj,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-10-27T23:46:54.427000+00:00,2233.0,4500.0,0.49622222222222223,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
19gFK695xje2JE8ZGDyF,jWmnCeeHhqfK2K1DIn16yVzqXKS2,human,,2025-12-30T12:32:57.718000+00:00,2203.0,4500.0,0.4895555555555556,30.0,30.0,True,"{'age': 21, 'clarityNow': 7, 'screenTime': 9, 'flow': 'Occasionally', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}"
